64	64	4	61
0	0		
1	0		
2	0		
3	0		
4	4		
5	5		
6	7		
7	9		
8	11		
9	10		
10	12		
11	15		
12	16		
13	14		
14	15		
15	22		
16	20		
17	18		
18	28		
19	38		
20	44		
21	56		
22	70		
23	90		
24	110		
25	120		
26	140		
27	155		
28	170		
29	210		
30	220		
31	189		
32	150		
33	120		
34	110		
35	90		
36	77		
37	50		
38	28		
39	12		
40	10		
41	9		
42	9		
43	5		
44	3		
45	6		
46	10		
47	30		
48	70		
49	100		
50	120		
51	145		
52	188		
53	214		
54	196		
55	160		
56	138		
57	97		
58	76		
59	33		
60	20		
61	2				
